Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Panamá,2018,2.92,7.28,1.945103244,95.41181183,3.832999945
Panamá,2017,3.21,6.91,3.799463619,,3.858999968
Panamá,2016,3.35,7.32,3.170454687,,3.263000011
Panamá,2015,2.95,6.81,3.942836588,,2.976999998
Panamá,2014,4.15,6.92,3.292822882,,2.707000017
Panamá,2013,3.54,6.65,5.096965309,,2.285000086
Panamá,2012,3.75,6.56,7.910980198,,2.388999939
Panamá,2011,3.95,6.59,9.397933867,,2.378999949
Panamá,2010,4.33,7.09,3.983879066,94.09411621,3.720000029
Panamá,2009,5.06,7,-0.539359768,,3.851999998
Panamá,2008,5.61,6.85,7.90195582,,3.743000031
Panamá,2007,5.15,6.93,9.97372368,,3.684999943
Panamá,2006,5.97,6.45,6.68387882,,3.700000048
Panamá,2005,5.31,6.09,5.232159436,,3.753000021
Panamá,2004,6.07,6.99,5.538942489,,3.739000082
Panamá,2003,6.32,6.62,2.261670349,,3.790999889
Panamá,2002,5.88,6.96,0.295907822,,3.785000086
Panamá,2001,6.16,6.83,-1.35632658,,3.816999912
Panamá,2000,5.9,6.91,0.710915778,91.89962006,3.813999891
Paraguay,2019,6.16,7.17,-1.65407082,93.21353149,6.590000153
Paraguay,2018,6.1,6.72,1.883631824,94.02079773,6.21999979
Paraguay,2017,6.13,6.61,3.448948247,,4.610000134
Paraguay,2016,5.64,6.68,2.896856615,94.65023804,5.25
Paraguay,2015,5.85,6.7,1.58379371,95.55484009,4.559999943
Paraguay,2014,5.95,6.64,3.87716,95.03481293,5.03000021
Paraguay,2013,5.07,6.05,6.816576449,95.05903625,4.380000114
Paraguay,2012,4.7,6.53,-2.061451531,94.19747162,4.090000153
Paraguay,2011,4.68,5.83,2.871009586,,4.670000076
Paraguay,2010,3.82,5.47,9.600801772,93.87091827,4.570000172
Paraguay,2009,4.74,5.53,-1.598880817,93.75424194,5.460000038
Paraguay,2008,3.93,5.05,5.045134054,93.29208374,4.420000076
Paraguay,2007,4.16,5.02,3.923927666,94.55821991,4.710000038
Paraguay,2006,4.6,5.02,3.227587174,,5.28000021
Paraguay,2005,4.61,4.83,0.493156058,,4.820000172
Paraguay,2004,4.64,4.93,2.285654074,,6.510000229
Paraguay,2003,3.71,4.91,2.449800142,,6.809999943
Paraguay,2002,3.75,4.76,-1.892240056,,9.390000343
Paraguay,2001,3.48,5.61,-2.756562884,,6.210000038
Paraguay,2000,3.64,6.02,-4.275050599,,7.610000134
Perú,2019,2.73,5.22,0.565474348,,3.380000114
Perú,2018,2.74,5.2,2.197948449,94.40827179,3.49000001
Perú,2017,2.74,4.92,0.829126309,94.14961243,3.690000057
Perú,2016,2.66,4.97,2.422904855,94.17366791,3.74000001
Perú,2015,2.77,4.98,1.963344408,94.16233826,3.269999981
Perú,2014,2.98,4.98,1.305657512,93.70794678,3.210000038
Perú,2013,3.19,4.76,4.902582604,,3.569999933
